iter	Passed	Remaining
0	665	664343
1	690	344505
2	716	238218
3	741	184726
4	749	149151
5	773	128151
6	797	113162
7	822	101978
8	846	93186
9	870	86149
10	894	80383
11	916	75488
12	941	71494
13	966	68037
14	990	65070
15	1016	62511
16	1041	60216
17	1065	58114
18	1089	56273
19	1114	54599
20	1138	53056
21	1162	51689
22	1178	50054
23	1201	48868
24	1225	47783
25	1248	46759
26	1272	45848
27	1295	44959
28	1319	44171
29	1342	43402
30	1367	42733
31	1390	42051
32	1416	41498
33	1439	40901
34	1464	40382
35	1489	39894
36	1515	39437
37	1539	38983
38	1563	38532
39	1587	38097
40	1611	37697
41	1634	37292
42	1658	36905
43	1681	36534
44	1705	36204
45	1731	35908
46	1754	35580
47	1777	35251
48	1801	34957
49	1828	34739
50	1852	34461
51	1877	34222
52	1899	33945
53	1924	33707
54	1947	33467
55	1971	33231
56	1994	33000
57	2019	32796
58	2043	32591
59	2068	32404
60	2092	32209
61	2119	32073
62	2144	31892
63	2169	31730
64	2194	31561
65	2217	31379
66	2241	31215
67	2266	31061
68	2289	30889
69	2313	30738
70	2337	30591
71	2361	30432
72	2384	30282
73	2408	30140
74	2432	29999
75	2456	29863
76	2480	29738
77	2504	29609
78	2528	29476
79	2553	29366
80	2577	29245
81	2601	29124
82	2625	29004
83	2649	28892
84	2673	28784
85	2697	28668
86	2722	28569
87	2746	28465
88	2770	28361
89	2795	28264
90	2819	28165
91	2843	28065
92	2867	27961
93	2892	27876
94	2916	27780
95	2940	27691
96	2965	27604
97	2989	27511
98	3012	27413
99	3036	27328
100	3060	27242
101	3085	27163
102	3109	27079
103	3134	27003
104	3157	26918
105	3181	26829
106	3205	26748
107	3229	26673
108	3254	26600
109	3278	26526
110	3302	26452
111	3330	26403
112	3356	26345
113	3382	26287
114	3407	26224
115	3431	26147
116	3454	26070
117	3478	26003
118	3503	25939
119	3527	25868
120	3551	25801
121	3576	25737
122	3600	25668
123	3624	25603
124	3647	25534
125	3671	25467
126	3695	25402
127	3719	25342
128	3744	25279
129	3767	25214
130	3792	25157
131	3816	25094
132	3841	25045
133	3866	24985
134	3890	24930
135	3917	24885
136	3941	24827
137	3966	24775
138	3990	24715
139	4014	24659
140	4038	24604
141	4063	24549
142	4088	24500
143	4113	24450
144	4137	24396
145	4161	24341
146	4185	24286
147	4209	24231
148	4233	24178
149	4257	24126
150	4281	24073
151	4305	24019
152	4329	23968
153	4353	23916
154	4377	23863
155	4401	23812
156	4424	23757
157	4448	23709
158	4473	23663
159	4498	23616
160	4522	23568
161	4547	23522
162	4571	23473
163	4595	23426
164	4619	23379
165	4643	23327
166	4667	23282
167	4690	23228
168	4714	23182
169	4738	23134
170	4763	23091
171	4786	23040
172	4810	22997
173	4834	22951
174	4859	22906
175	4883	22862
176	4907	22817
177	4932	22776
178	4955	22730
179	4979	22685
180	5004	22643
181	5028	22598
182	5052	22558
183	5078	22521
184	5102	22478
185	5126	22436
186	5150	22393
187	5174	22348
188	5198	22304
189	5221	22259
190	5245	22216
191	5268	22172
192	5292	22131
193	5316	22087
194	5340	22046
195	5364	22007
196	5388	21964
197	5413	21927
198	5436	21884
199	5461	21845
200	5484	21801
201	5508	21762
202	5532	21721
203	5555	21676
204	5580	21639
205	5603	21599
206	5628	21563
207	5652	21523
